id,bad,wealth,max_unpay_day,score,age,period,education
916,0,4,,363,30,10,4
917,0,6,,335,24,6,2
918,0,4,,324,24,10,2
919,0,4,,363,31,,4
920,0,4,,0,31,6,4
921,0,2,,328,32,6,3
922,1,,,0,21,6,2
923,0,4,,352,30,,4
924,0,4,171,345,23,6,2
925,0,6,,253,24,10,2
926,0,3,,271,34,,5
927,0,9,,277,28,10,2
928,0,7,,282,23,6,2
929,0,4,,238,35,,4
930,0,4,,332,26,6,4
931,0,2,,297,25,6,4
932,0,,,213,23,10,3
933,0,2,,256,24,6,2
934,1,3,,281,35,10,4
935,0,4,,352,31,10,4
936,0,6,,384,27,10,4
937,0,4,,372,34,,4
938,0,7,,282,40,,3
939,0,3,,230,29,10,3
940,0,6,,348,29,6,
941,0,5,,332,27,8,4
942,0,4,,283,23,6,4
