id,bad,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14
382,0,优,15.78,1,0,0,0,0,0,,0,0,0,19,197
383,0,良,18.43,2,99.23,99.23,99.23,0,0,,2326,2308,2308,0,0
384,0,良,9.59,2,140,100,70,0,0,,1200,1200,840,2,1321
385,0,,3.21,6,110,100,55,0,0,,10,50,25.5,4,89
386,0,,13.1,1,0,0,0,0,0,,0,0,0,4,406
387,0,,9.33,11,394.39,100,78.88,0,0,,30,300,108.38,11,409
388,0,优,8.96,5,263,98,87.67,0,0,,50,2440,1050.67,0,0
389,0,良,2.11,7,535.36,100,89.23,0,0,,10,2656.17,490.53,19,257
390,0,优,5.62,1,0,0,0,0,0,,0,0,0,0,0
391,1,良,1.62,1,100,100,100,100,100,,1310,1310,1310,0,0
392,0,良,4.35,1,100,100,100,0,0,,10,10,10,2,735
393,0,优,6.98,7,309.5,90,44.21,0,0,,3,16200,2386.01,4,469
394,0,优,11.36,1,79.8,79.8,79.8,0,0,,1010,806,806,14,501
395,0,良,3.45,4,290,100,96.67,290,100,,50,100,81.67,0,0
396,1,良,15.49,3,87.24,46,21.81,0,0,,52,460,218.41,11,553
397,0,优,0.78,5,260,100,52,0,0,,500,3150,2060,0,0
398,0,良,2.45,3,60,60,30,0,0,,10,292.5,149.25,0,0
399,0,良,2.4,1,40,40,40,0,0,,5,2,2,0,0
400,0,优,2.51,1,80,80,80,0,0,,100,80,80,10,110
401,1,优,5.16,1,80,80,80,0,0,700,700,560,560,8,484
402,0,优,1.67,3,0,0,0,0,0,0,0,0,0,40,278
403,0,,5.14,4,273.5,90,54.7,90,90,100,10,55,32.1,4,466
404,0,良,15.58,9,384,60,48,144,60,3000,20,990,200.03,8,388
405,0,,9.26,19,50.33,50,25.16,0,0,300,0,25,13,8,97
406,0,优,13.18,3,0,0,0,0,0,3000,2000,2000,1060,3,275
407,0,良,3.52,0,0,0,0,0,0,0,0,0,0,0,0
408,0,优,2.82,1,90,90,90,0,0,2000,2000,1800,1800,3,108
409,0,优,0.73,2,100,100,50,0,0,50,3,50,26.5,0,0
410,0,良,5.67,5,206,100,41.2,51,51,1000,20,100,43.2,0,0
411,0,,5.48,4,100,90,50,0,0,,500,450,255,4,423
412,0,优,4.45,2,130.8,70,65.4,0,0,,50,140,85.2,0,0
413,0,良,2.22,2,80,80,80,0,0,,62,49.6,49.6,0,0
414,0,,16.27,2,30,30,30,0,0,,500,150,150,18,125
415,0,优,8.02,3,86.67,86.67,86.67,0,0,,600,520,520,9,502
416,0,,9.11,1,90,90,90,0,0,,50,45,45,0,0
417,0,优,10.57,19,0,0,0,0,0,,0,0,0,0,0
418,1,优,9.61,4,120,80,40,20,20,,25,100,47.99,3,51
419,0,良,14,0,100,100,100,0,0,0,0,28,28,0,0
420,0,,9.39,1,100,,50,50,50,1000,60,500,265,0,0
421,0,优,2.64,4,30,,30,0,0,2000,2000,600,600,0,0
422,0,良,13.13,5,100,,50,0,0,100,50,50,37.5,4,611
423,0,,,1,100,,100,0,0,480,480,480,480,0,0
424,0,优,,2,60,,60,60,60,50,50,30,30,5,526
425,0,良,,3,50,,50,0,0,1000,1000,500,500,7,16
426,0,,,5,302,,75.5,70,70,2000,30,2000,747.75,7,1157
427,0,优,,7,467,,66.71,245,90,1000,50,400,135.64,4,255
428,0,良,,10,390,100,48.75,50,50,9300,30,4650,668.09,7,623
429,0,,,4,80,70,26.67,10,10,2000,15,756,253.5,0,0
430,0,优,,6,50,50,50,50,50,100,100,50,50,0,0
431,0,良,5.48,1,100,100,100,0,0,200,200,200,200,0,0
432,0,,12.35,1,170,90,56.67,90,90,50,50,45,28.33,5,161
433,1,良,3.55,2,84,50,42,84,50,50,50,25,21,0,0
434,0,良,5.77,9,533,100,76.14,200,80,1500,50,1485,428.14,6,993
435,0,优,2.18,2,35,30,17.5,0,0,200,100,60,32.5,0,0
436,0,优,3.88,2,155,95,77.5,0,0,300,100,285,172.5,9,275
437,0,良,10.82,7,242.87,92,48.57,0,0,13000,50,5084.7,1563.33,24,584
438,0,,18.1,7,168,100,28,20,20,10000,100,800,336.67,10,167
439,0,优,7.63,2,185,100,61.67,0,0,1000,100,500,240,8,558
440,0,良,4.81,2,100,100,100,0,0,50,50,50,50,0,0
441,0,,4.59,2,0,0,0,0,0,0,0,0,0,0,0
442,0,优,2,4,3,3,1.5,0,0,1000,600,30,30,0,0
443,0,良,1.05,2,80,60,40,20,20,50,50,30,20,13,42
444,0,,20.35,2,0,0,0,0,0,200,200,200,200,3,127
445,0,优,11.4,5,290.92,95,72.73,95,95,4000,301,3077,1368.14,5,237
446,0,良,16.12,8,167.1929,86.67,55.73,80,80,91800,500,4420,1766.67,34,29
447,0,优,6.26,9,252,100,63,50,50,300,30,153,79.58,2,405
448,0,优,6.02,2,100,100,100,0,0,50,50,50,50,0,0
449,0,良,12.21,1,0,0,0,0,0,0,0,0,0,0,0
450,0,良,0.59,4,0,0,0,0,0,0,0,0,0,0,0
451,0,优,5.19,3,154,84,77,70,70,1000,100,840,455,13,250
452,0,良,10.55,3,80,35,26.67,15,15,4600,50,1610,584.17,0,0
453,1,良,6.55,2,65,65,65,0,0,500,500,325,325,0,0
454,0,优,15.25,6,108.38,76.67,36.13,30,30,1054,50,230,87.67,0,0
455,0,良,5.27,3,10,10,10,0,0,200,200,20,20,14,79
456,0,,12.13,5,201.5657,80,28.8,114,80,5040,0,1722.96,314.21,38,17
457,1,良,17.39,2,0,0,0,0,0,0,0,0,0,1,3148
458,0,良,12.77,3,100,100,100,0,0,1630,1630,1630,1630,5,525
459,0,,7.17,1,0,0,0,0,0,0,0,0,0,2,727
460,0,优,13.5,2,50,50,50,50,50,0,0,5,5,0,0
461,1,良,6.99,3,125,75,62.5,0,0,500,200,250,200,0,0
462,0,优,13.85,6,0,0,0,0,0,0,0,0,0,3,460
463,0,优,5.78,6,270,100,67.5,100,100,1000,10,500,158,3,742
464,0,良,4.95,7,0,0,0,0,0,0,0,0,0,31,308
465,0,良,8.12,1,50,50,50,0,0,500,500,250,250,2,1067
466,0,优,6.76,3,170,100,56.67,0,0,500,200,200,150,9,315
467,0,良,6.77,1,0,0,0,0,0,0,0,0,0,0,0
468,0,优,1.18,22,0,0,0,0,0,0,0,0,0,4,86
469,0,优,13.41,0,0,0,0,0,0,0,0,0,0,2,477
470,0,良,5.3,0,0,0,0,0,0,0,0,0,0,0,0
471,1,优,9.2,9,541,100,67.62,33,33,3000,50,1530,323.9,7,160
472,0,优,2.03,3,100,100,50,100,100,50,50,100,50,0,0
473,0,良,10.89,3,177.5,87.5,59.17,87.5,87.5,5000,50,4000,1568.33,16,312
474,1,优,2.04,4,244,100,81.33,48,48,300,50,288,170.67,0,0
475,0,优,3.93,1,20,20,20,0,0,1000,1000,200,200,6,426
476,1,良,3.62,1,20,20,20,20,20,500,500,100,100,8,153
477,0,良,23.5,0,0,0,0,0,0,0,0,0,0,4,395
478,0,优,10.35,5,120.33,80,60.16,80,80,6956.2956,100,2805.6,1442.8,0,0
479,1,,13.34,24,913.81,94.4,53.75,130.49,80,10000,10,9440,2408.14,0,0
480,0,良,6,7,178,89,59.33,0,0,1000,300,890,652.33,0,0
481,0,,2.29,5,88,48,44,0,0,10000,500,4000,2120,11,44
482,1,良,5.33,7,415,94,69.17,181,70,3000,50,2820,613.42,5,80
483,0,良,11.92,5,210,100,70,0,0,1000,200,500,373.33,2,1370
484,0,优,11.87,17,385,100,77,160,100,7000,500,4200,2010,5,140
